methode;route;fichier;ligne
GET;/api/v1/health;backend/src/app.ts;39
GET;/api/v1/auth/csrf;backend/src/auth/auth.module.ts;274
POST;/api/v1/auth/google;backend/src/auth/auth.module.ts;257
POST;/api/v1/auth/google/challenge;backend/src/auth/auth.module.ts;244
GET;/api/v1/auth/google/config;backend/src/auth/auth.module.ts;241
POST;/api/v1/auth/login;backend/src/auth/auth.module.ts;284
POST;/api/v1/auth/logout;backend/src/auth/auth.module.ts;299
GET;/api/v1/auth/me;backend/src/auth/auth.module.ts;287
POST;/api/v1/auth/register;backend/src/auth/auth.module.ts;278
POST;/api/v1/internal/automation/confirmation/:id;backend/src/automation/automation.module.ts;356
POST;/api/v1/internal/automation/matches/:id;backend/src/automation/automation.module.ts;345
POST;/api/v1/internal/automation/reminders;backend/src/automation/automation.module.ts;352
GET;/api/v1/me/bank-details;backend/src/documents/documents.module.ts;268
PUT;/api/v1/me/bank-details;backend/src/documents/documents.module.ts;259
GET;/api/v1/me/documents;backend/src/documents/documents.module.ts;233
POST;/api/v1/me/documents;backend/src/documents/documents.module.ts;220
GET;/api/v1/me/documents/:id;backend/src/documents/documents.module.ts;239
GET;/api/v1/dashboards;backend/src/listings/listings.module.ts;296
GET;/api/v1/facilities;backend/src/listings/listings.module.ts;225
GET;/api/v1/facilities/:id;backend/src/listings/listings.module.ts;231
GET;/api/v1/listings/:id;backend/src/listings/listings.module.ts;190
GET;/api/v1/listings/external;backend/src/listings/listings.module.ts;167
POST;/api/v1/listings/search;backend/src/listings/listings.module.ts;46
GET;/api/v1/me/favorites;backend/src/listings/listings.module.ts;267
POST;/api/v1/me/favorites;backend/src/listings/listings.module.ts;247
DELETE;/api/v1/me/favorites/:kind/:id;backend/src/listings/listings.module.ts;275
GET;/api/v1/me/history;backend/src/listings/listings.module.ts;288
GET;/api/v1/me/listings/:id/correspondence;backend/src/listings/listings.module.ts;136
GET;/api/v1/me/notifications;backend/src/listings/listings.module.ts;324
POST;/api/v1/me/notifications/:id/read;backend/src/listings/listings.module.ts;333
GET;/api/v1/matches/:id/explanation;backend/src/matching/matching.module.ts;262
GET;/api/v1/me/matches;backend/src/matching/matching.module.ts;252
GET;/api/v1/missions/:id/candidates;backend/src/matching/matching.module.ts;255
GET;/api/v1/applications/:id;backend/src/missions/missions.module.ts;157
POST;/api/v1/applications/:id/rejection;backend/src/missions/missions.module.ts;107
POST;/api/v1/applications/:id/selection;backend/src/missions/missions.module.ts;100
POST;/api/v1/applications/:id/withdrawal;backend/src/missions/missions.module.ts;93
GET;/api/v1/me/applications;backend/src/missions/missions.module.ts;122
GET;/api/v1/missions;backend/src/missions/missions.module.ts;131
POST;/api/v1/missions;backend/src/missions/missions.module.ts;42
GET;/api/v1/missions/:id;backend/src/missions/missions.module.ts;138
PUT;/api/v1/missions/:id;backend/src/missions/missions.module.ts;49
GET;/api/v1/missions/:id/applications;backend/src/missions/missions.module.ts;179
POST;/api/v1/missions/:id/applications;backend/src/missions/missions.module.ts;85
POST;/api/v1/missions/:id/assignments;backend/src/missions/missions.module.ts;114
POST;/api/v1/missions/:id/cancel;backend/src/missions/missions.module.ts;64
POST;/api/v1/missions/:id/complete;backend/src/missions/missions.module.ts;78
POST;/api/v1/missions/:id/publish;backend/src/missions/missions.module.ts;57
POST;/api/v1/missions/:id/reopen;backend/src/missions/missions.module.ts;71
GET;/api/v1/assignments/:id/confirmation;backend/src/organizations/organizations.module.ts;150
PUT;/api/v1/me/notification-preferences;backend/src/organizations/organizations.module.ts;137
GET;/api/v1/me/organizations;backend/src/organizations/organizations.module.ts;76
PUT;/api/v1/organizations/:id;backend/src/organizations/organizations.module.ts;87
GET;/api/v1/staffing-requests;backend/src/organizations/organizations.module.ts;131
POST;/api/v1/staffing-requests;backend/src/organizations/organizations.module.ts;108
GET;/api/v1/profile;backend/src/profiles/profiles.module.ts;277
PUT;/api/v1/profile;backend/src/profiles/profiles.module.ts;280
PUT;/api/v1/profile/rpps;backend/src/profiles/profiles.module.ts;283
POST;/api/v1/profile/rpps/retry;backend/src/profiles/profiles.module.ts;286
GET;/api/v1/reference-data/finess;backend/src/reference-data/finess.module.ts;26
GET;/api/v1/reference-data/finess/:finess;backend/src/reference-data/finess.module.ts;44
GET;/api/v1/reference-data;backend/src/reference-data/reference-data.module.ts;66
