etablissements;missions;formule;CA_HT;cout_mensuel;resultat_mensuel;resultat_par_mission;taux_resultat_sur_CA_pct;meilleure_formule
10;0;19 €/mission;0;5265.3;-5265.3;;;False
10;0;299 €/établissement;2990;5265.3;-2275.3;;-76.0971;True
10;0;149 €/établissement + 9 €/mission;1490;5265.3;-3775.3;;-253.376;False
10;50;19 €/mission;950;5265.3;-4315.3;-86.306;-454.2423;False
10;50;299 €/établissement;2990;5265.3;-2275.3;-45.506;-76.0971;True
10;50;149 €/établissement + 9 €/mission;1940;5265.3;-3325.3;-66.506;-171.4073;False
10;100;19 €/mission;1900;5265.3;-3365.3;-33.653;-177.1212;False
10;100;299 €/établissement;2990;5265.3;-2275.3;-22.753;-76.0971;True
10;100;149 €/établissement + 9 €/mission;2390;5265.3;-2875.3;-28.753;-120.3055;False
10;200;19 €/mission;3800;5265.3;-1465.3;-7.3265;-38.5606;True
10;200;299 €/établissement;2990;5265.3;-2275.3;-11.3765;-76.0971;False
10;200;149 €/établissement + 9 €/mission;3290;5265.3;-1975.3;-9.8765;-60.0396;False
10;250;19 €/mission;4750;5265.3;-515.3;-2.0612;-10.8485;True
10;250;299 €/établissement;2990;5265.3;-2275.3;-9.1012;-76.0971;False
10;250;149 €/établissement + 9 €/mission;3740;5265.3;-1525.3;-6.1012;-40.7835;False
10;254;19 €/mission;4826;5265.3;-439.3;-1.7295;-9.1028;True
10;254;299 €/établissement;2990;5265.3;-2275.3;-8.9579;-76.0971;False
10;254;149 €/établissement + 9 €/mission;3776;5265.3;-1489.3;-5.8634;-39.4413;False
10;278;19 €/mission;5282;5265.3;16.7;0.0601;0.3161;True
10;278;299 €/établissement;2990;5265.3;-2275.3;-8.1845;-76.0971;False
10;278;149 €/établissement + 9 €/mission;3992;5265.3;-1273.3;-4.5802;-31.8963;False
10;298;19 €/mission;5662;5265.3;396.7;1.3312;7.0063;True
10;298;299 €/établissement;2990;5265.3;-2275.3;-7.6352;-76.0971;False
10;298;149 €/établissement + 9 €/mission;4172;5265.3;-1093.3;-3.6688;-26.2057;False
10;300;19 €/mission;5700;5265.3;434.7;1.449;7.6263;True
10;300;299 €/établissement;2990;5265.3;-2275.3;-7.5843;-76.0971;False
10;300;149 €/établissement + 9 €/mission;4190;5265.3;-1075.3;-3.5843;-25.6635;False
10;314;19 €/mission;5966;5265.3;700.7;2.2315;11.7449;True
10;314;299 €/établissement;;5265.3;;;;False
10;314;149 €/établissement + 9 €/mission;4316;5265.3;-949.3;-3.0233;-21.995;False
10;315;19 €/mission;5985;5265.3;719.7;2.2848;12.025;True
10;315;299 €/établissement;;5265.3;;;;False
10;315;149 €/établissement + 9 €/mission;4325;5265.3;-940.3;-2.9851;-21.7411;False
10;500;19 €/mission;9500;5265.3;4234.7;8.4694;44.5758;True
10;500;299 €/établissement;;5265.3;;;;False
