fichier,format,portee,controle
README.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs_intern/ACQUISITION_REELLE.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs_intern/ADAPTATEURS_EXTERNES.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs_intern/ARCHIVES.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs_intern/AUTOMATIONS_VALIDATION_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs_intern/AUTOMATISATIONS.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs_intern/CATALOGUE_FONCTIONNALITES_V1_ACTUALISE.docx,docx,Référence courante revue ou corrigée,Archive Office et XML lisibles
docs_intern/CHIFFRAGE_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/CLINICAL_SKILLS_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs_intern/CONSERVATION_UTILISATEURS_REELS.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs_intern/CONTENU_VAULT_V1.docx,docx,Référence courante revue ou corrigée,Archive Office et XML lisibles
docs_intern/DECISIONS_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs_intern/DEPLOIEMENT_INVENTAIRE.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs_intern/DEPLOIEMENT_PRODUCTION.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs_intern/EMAILS_LIVRAISON.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs_intern/EMAILS_MISSIONS.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs_intern/ENTERPRISE_FOLLOW_UP.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/ENTERPRISE_MISSION_SEARCH_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
